,code,stock_at,collect_at,remain_stat
327,11803011,2020-04-07 09:00:00,2020-04-07 12:50:00,few
328,11803011,2020-04-08 08:59:00,2020-04-08 09:05:00,plenty
329,11803011,2020-04-08 08:59:00,2020-04-08 09:10:00,some
330,11803011,2020-04-08 08:59:00,2020-04-08 10:20:00,few
331,11803011,2020-04-08 08:59:00,2020-04-08 12:30:00,empty
332,11803011,2020-04-08 08:59:00,2020-04-08 13:05:00,few
333,11803011,2020-04-08 08:59:00,2020-04-08 17:45:00,empty
334,11803011,2020-04-08 08:59:00,2020-04-08 17:50:00,few
335,11803011,2020-04-09 08:54:00,2020-04-09 09:00:00,plenty
336,11803011,2020-04-09 08:54:00,2020-04-09 09:35:00,some
337,11803011,2020-04-09 08:54:00,2020-04-09 15:30:00,few
338,11803011,2020-04-10 09:06:00,2020-04-10 09:15:00,plenty
339,11803011,2020-04-10 09:06:00,2020-04-10 12:45:00,some
340,11803011,2020-04-10 09:06:00,2020-04-10 17:15:00,few
341,11803011,2020-04-13 09:04:00,2020-04-13 09:10:00,plenty
342,11803011,2020-04-13 09:04:00,2020-04-13 10:25:00,some
343,11803011,2020-04-13 09:04:00,2020-04-13 14:55:00,few
344,11803011,2020-04-14 09:06:00,2020-04-14 09:15:00,plenty
345,11803011,2020-04-14 09:06:00,2020-04-14 10:05:00,some
346,11803011,2020-04-14 09:06:00,2020-04-14 14:05:00,few
347,11803011,2020-04-14 09:06:00,2020-04-14 18:25:00,empty
348,11803011,2020-04-16 09:02:00,2020-04-16 09:10:00,plenty
349,11803011,2020-04-16 09:02:00,2020-04-16 11:50:00,some
350,11803011,2020-04-16 09:02:00,2020-04-16 17:30:00,few
351,11803011,2020-04-17 09:02:00,2020-04-17 09:10:00,plenty
352,11803011,2020-04-17 09:02:00,2020-04-17 10:40:00,some
353,11803011,2020-04-17 09:02:00,2020-04-17 18:30:00,empty
354,11803011,2020-04-18 09:02:00,2020-04-20 00:00:00,few
355,11803011,2020-04-20 08:55:00,2020-04-20 09:05:00,plenty
356,11803011,2020-04-20 08:55:00,2020-04-20 09:10:00,some
357,11803011,2020-04-20 08:55:00,2020-04-20 15:55:00,few
358,11803011,2020-04-21 08:54:00,2020-04-21 09:00:00,plenty
359,11803011,2020-04-21 08:54:00,2020-04-21 09:50:00,some
360,11803011,2020-04-21 08:54:00,2020-04-21 15:40:00,few
361,11803011,2020-04-21 08:54:00,2020-04-21 17:30:00,empty
362,11803011,2020-04-21 08:54:00,2020-04-21 17:40:00,few
363,11803011,2020-04-22 09:06:00,2020-04-22 09:15:00,plenty
364,11803011,2020-04-22 09:06:00,2020-04-22 09:25:00,some
365,11803011,2020-04-23 08:59:00,2020-04-23 09:05:00,plenty
366,11803011,2020-04-23 08:59:00,2020-04-23 14:45:00,some
367,11803011,2020-04-24 09:03:00,2020-04-24 09:10:00,plenty
368,11803011,2020-04-25 09:07:00,2020-04-27 00:00:00,few
369,11803011,2020-04-27 09:20:00,2020-04-27 09:30:00,some
370,11803011,2020-04-27 09:20:00,2020-04-27 11:50:00,few
371,11803011,2020-04-28 08:59:00,2020-04-28 09:05:00,some
372,11803011,2020-04-28 08:59:00,2020-04-28 12:00:00,few
373,11803011,2020-04-28 08:59:00,2020-04-28 15:40:00,empty
374,11803011,2020-04-28 08:59:00,2020-04-28 16:10:00,few
375,11803011,2020-04-28 08:59:00,2020-04-28 16:25:00,empty
376,11803011,2020-04-28 08:59:00,2020-04-28 17:10:00,few
377,11803011,2020-04-29 09:11:00,2020-04-29 09:20:00,plenty
378,11803011,2020-04-29 09:11:00,2020-04-29 12:05:00,some
379,11803011,2020-04-29 09:11:00,2020-05-01 00:00:00,few
380,11803011,2020-05-01 08:59:00,2020-05-01 09:05:00,plenty
381,11803011,2020-05-01 08:59:00,2020-05-01 10:15:00,some
382,11803011,2020-05-02 09:30:00,2020-05-04 00:00:00,empty
383,11803011,2020-05-04 09:26:00,2020-05-04 09:35:00,some
384,11803011,2020-05-04 09:26:00,2020-05-04 14:15:00,few
385,11803011,2020-05-04 09:26:00,2020-05-04 15:15:00,empty
386,11803011,2020-05-04 09:26:00,2020-05-04 15:45:00,few
387,11803011,2020-05-04 09:26:00,2020-05-04 16:45:00,empty
388,11803011,2020-05-04 09:26:00,2020-05-04 17:35:00,few
389,11803011,2020-05-04 09:26:00,2020-05-04 18:05:00,empty
390,11803011,2020-05-06 09:13:00,2020-05-06 09:20:00,some
391,11803011,2020-05-06 09:13:00,2020-05-06 18:25:00,few
392,11803011,2020-05-07 09:11:00,2020-05-07 09:20:00,plenty
393,11803011,2020-05-07 09:11:00,2020-05-07 12:05:00,some
394,11803011,2020-05-08 09:01:00,2020-05-08 09:10:00,plenty
395,11803011,2020-05-08 09:01:00,2020-05-08 15:30:00,some
396,11803011,2020-05-09 09:04:00,2020-05-11 00:00:00,few
397,11803011,2020-05-11 08:54:00,2020-05-11 09:00:00,plenty
398,11803011,2020-05-11 08:54:00,2020-05-11 09:25:00,some
399,11803011,2020-05-11 08:54:00,2020-05-11 12:25:00,few
400,11803011,2020-05-11 08:54:00,2020-05-11 14:25:00,some
